timestamp,room_id,consumption_kwh
2026-09-01T09:00:00Z,A-203,2.3
2026-09-01T13:00:00Z,A-203,2.6
2026-09-01T18:00:00Z,A-203,2.4
2026-09-01T22:00:00Z,A-203,4.2
2026-09-02T09:00:00Z,A-203,2.2
2026-09-02T13:00:00Z,A-203,2.5
2026-09-02T18:00:00Z,A-203,2.3
2026-09-02T22:00:00Z,A-203,4.4
2026-09-01T10:00:00Z,A-205,2.1
2026-09-01T14:00:00Z,A-205,2.3
2026-09-02T10:00:00Z,A-205,2.2
2026-09-02T14:00:00Z,A-205,2.4
2026-09-01T10:00:00Z,B-303,2.0
2026-09-01T15:00:00Z,B-303,2.2
2026-09-02T10:00:00Z,B-303,2.1
2026-09-02T15:00:00Z,B-303,2.2
